time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.09148317431e-08,-9.31755441585e-08,10.0034436529,6.28298486137,6.28278633382,0.0,1.45441055182e-05,-1.24911985283e-05,0.114783033719,-0.0110380442772,-0.0252706747236,0.0,442.8138867636823,440.7306211625307,441.81258406020925,440.9018053014657
0.12000000000000001,1.67919252616e-05,-8.48598645786e-06,10.0160314245,6.28215901429,6.28094233222,0.0,0.000735964206913,-0.00035233111967,0.30477697157,-0.0198654522568,-0.0448512692402,0.0,465.03977356953624,463.50340255036645,465.2844803269904,464.59311325389604
0.18,0.000115569813522,-5.40669088291e-05,10.0366868168,6.28142601068,6.27852513607,0.0,0.00280787647557,-0.00125898045145,0.383711430239,-0.000156630689005,-0.0324426431187,0.0,430.021551371967,431.07028362777817,429.1733669329138,430.84273812918923
0.23999999999999996,0.000415140959622,-0.000175838266652,10.0682732586,6.28107385289,6.27695928457,0.0,0.00740154515083,-0.00281861602103,0.669045583044,-0.020870762393,-0.0157350482226,0.0,491.2998613809061,492.53676022995614,493.6552854133203,492.12474752689155
0.3,0.000977317641098,-0.000388251839743,10.1093219004,6.28004772723,6.27664604389,0.0,0.0113900467789,-0.00436539350694,0.699223653243,-0.0104671794376,0.0102022659999,0.0,413.7384877540558,416.01554953324273,413.9290715766899,414.84351460395555
0.36000000000000004,0.00179566797835,-0.000718512917494,10.1546033846,6.27908573612,6.27706031924,0.0,0.0158336196664,-0.00672197762825,0.810086718907,-0.0305130086592,-0.00067739533947,0.0,440.59216543099865,439.69177886438825,442.3987489033509,440.74537462689017
0.4200000000000001,0.00289390003191,-0.00122929699169,10.2098440628,6.27754387665,6.2764519316,0.0,0.0207907240856,-0.0105039136792,1.03109498757,-0.0174829884648,-0.0467595588927,0.0,476.7478157389273,473.2141507135012,473.39114669309004,474.3924889074683
0.48000000000000015,0.00430619189779,-0.00199244239633,10.2768098406,6.27628786804,6.27383879669,0.0,0.0265880961975,-0.0150615431661,1.20093127264,-0.0289246586585,-0.037807256809,0.0,459.5116083135062,460.2196376152329,459.8064886138705,458.8992761123625
0.5400000000000001,0.00609329956817,-0.00303804562803,10.3508548364,6.27427742219,6.27164721196,0.0,0.0331976488714,-0.0199710217096,1.26716020655,-0.0447604829402,-0.0340810171303,0.0,426.971158002511,427.28823650320726,428.5982891969152,427.24986170406913
0.6000000000000002,0.00835218433945,-0.00444708717571,10.4316285979,6.27146839151,6.26951835853,0.0,0.0423268681239,-0.0272986635245,1.42510877549,-0.0512837690506,-0.0384381987522,0.0,456.1324164011728,455.78383407307047,457.3665221614101,456.84548084146167
0.6600000000000003,0.011274859295,-0.00641936327396,10.5266864262,6.26835421984,6.26669255858,0.0,0.0554178505684,-0.0388540500047,1.74304618165,-0.0531702481076,-0.0764375396127,0.0,504.279615061139,501.5260414496532,503.73654885900834,503.59873234988333
0.7200000000000003,0.0149836356009,-0.0090922502825,10.6357621405,6.26515315371,6.26249738506,0.0,0.0686812694771,-0.0505877478459,1.89256043279,-0.0537151462503,-0.0593289240246,0.0,454.85366784667707,456.2179315140645,455.1551359975268,455.10972780514885
0.7800000000000004,0.0195708853401,-0.0125345921305,10.7535207558,6.26217013216,6.25930819782,0.0,0.0845836234117,-0.0644861065459,2.03247297804,-0.042729136641,-0.0430217517279,0.0,452.01252270324875,453.3228122477458,452.7457742520559,453.62723203473394
0.8400000000000004,0.0251514150189,-0.0168495921561,10.8785650701,6.25985125646,6.25628082515,0.0,0.101709140508,-0.0795920972862,2.13547000254,-0.0315321841699,-0.0726162831225,0.0,443.60772214373617,441.1690846147735,441.11600931809875,442.0388483322645
0.9000000000000005,0.0319372314766,-0.0222091727901,11.0136997779,6.25747434838,6.25228256585,0.0,0.124977851096,-0.0992977136925,2.36854446494,-0.065247178761,-0.0567765200863,0.0,481.2330947369463,482.42750000460944,482.740179348654,480.1885611609844
0.9600000000000005,0.0400965711389,-0.0287205302158,11.1591016821,6.25394541405,6.2490743346,0.0,0.147333807726,-0.118123433935,2.47793045586,-0.0483395408922,-0.0475675949439,0.0,445.4370161146996,446.1875396437955,444.41824594021546,445.7993707804333
1.0200000000000005,0.0497682896595,-0.036523566617,11.3141398766,6.25091383106,6.24680927943,0.0,0.175337374896,-0.142314340416,2.68951078225,-0.0553024412865,-0.0231075083251,0.0,475.39723918691953,477.2670147326231,477.71976071902975,477.18711287731975
1.0800000000000005,0.0612362159617,-0.045912638489,11.4837012019,6.24780715349,6.24523693482,0.0,0.207089222088,-0.171041086723,2.96184260276,-0.0455275952695,-0.0332602861423,0.0,495.4396377549434,494.69253924590504,495.236943850757,495.9539348739472
1.1400000000000006,0.0744439638703,-0.0569085537162,11.6641813683,6.24516067687,6.24388863511,0.0,0.233321597812,-0.195751599109,3.0538994202,-0.0414107064334,-0.00675225530058,0.0,441.6445172285551,443.82538904257456,443.3258146300224,443.662851238591
1.2000000000000006,0.0891245983988,-0.0693203108006,11.8470668976,6.24280392172,6.24394852461,0.0,0.256044738583,-0.218181796277,3.04230210013,-0.0353259472131,0.0131867309816,0.0,407.7844895553111,409.56179139164453,410.5341700381941,411.0728121594484
1.2600000000000007,0.105152354822,-0.0831054944281,12.028957387,6.24079592646,6.24465016342,0.0,0.27815147606,-0.24150046534,3.02076179314,-0.0299862259249,0.00852763731637,0.0,404.98353186899874,404.56412601361455,407.5658097049956,408.04222804898166
